id,latitude,longitude,municipality,name,town,website_link
136,45.59,13.86111111,Koper,Grad Socerb,Socerb,https://sl.wikipedia.org/wiki/Grad_Socerb
137,45.78111111,15.01111111,Dolenjske Toplice,Grad Soteska,Loška vas,https://sl.wikipedia.org/wiki/Grad_Stara_Soteska
138,46.17111111,14.3,Škofja Loka,Grad Stara Loka,Stara Loka,https://sl.wikipedia.org/wiki/Grad_Stara_Loka
139,45.84388889,15.20805556,Novo mesto,Stari grad,Zagrad pri Otočcu,"https://sl.wikipedia.org/wiki/Stari_grad,_Novo_mesto"
140,45.995,15.155,Šentrupert,Grad Stražberk,Mali Cirnik pri Šentjanžu,https://sl.wikipedia.org/wiki/Grad_Stra%C5%BEberk
141,46.26388889,14.47888889,Cerklje na Gorenjskem,Grad Strmol,Dvorje,https://sl.wikipedia.org/wiki/Grad_Strmol
142,45.84194444,15.24805556,Novo mesto,Grad Struga,Gumberk,https://sl.wikipedia.org/wiki/Grad_Struga
143,46.06611111,15.09805556,Radeče,Grad Svibno,Svibno,https://sl.wikipedia.org/wiki/Grad_Svibno
144,46.36194444,15.12694444,Velenje,Grad Šalek,Velenje,https://sl.wikipedia.org/wiki/Grad_%C5%A0alek
145,46.165,14.30305556,Škofja Loka,Grad Škofja Loka,Škofja Loka,https://sl.wikipedia.org/wiki/%C5%A0kofjelo%C5%A1ki_grad
146,45.66111111,14.00694444,Divača,Grad Školj,Goriče pri Famljah,https://sl.wikipedia.org/wiki/Grad_%C5%A0kolj
147,45.97805556,15.075,Šentrupert,Grad Škrljevo,Škrljevo,https://sl.wikipedia.org/wiki/Grad_%C5%A0krljevo
148,46.37611111,15.04194444,Šoštanj,Grad Šoštanj,Šoštanj,https://sl.wikipedia.org/wiki/Grad_%C5%A0o%C5%A1tanj
149,45.95194444,15.47111111,Krško,Grad Šrajbarski turn,Leskovec pri Krškem,https://sl.wikipedia.org/wiki/%C5%A0rajbarski_turn
150,45.82388889,13.845,Komen,Grad Štanjel,Štanjel,https://sl.wikipedia.org/wiki/Grad_%C5%A0tanjel
151,45.88115833,15.15285278,Mokronog - Trebelno,Grad Štatenberk,Štatenberk,https://sl.wikipedia.org/wiki/Grad_%C5%A0tatenberk
152,45.74902778,14.44661111,Cerknica,Grad Šteberk,Žerovnica,https://sl.wikipedia.org/wiki/Grad_%C5%A0teberk
153,45.872275,15.19568611,Novo mesto,Grad Štravberk,Štravberk,https://sl.wikipedia.org/wiki/Grad_%C5%A0travberk
154,45.865,15.23611111,Šmarješke Toplice,Grad Štrlek,Šmarješke Toplice,https://sl.wikipedia.org/wiki/Grad_%C5%A0trlek
155,45.89583889,14.88852194,Trebnje,Grad Šumberk,Sela pri Šumberku,https://sl.wikipedia.org/wiki/Grad_%C5%A0umberk
156,45.62888889,14.02111111,Divača,Grad Švarcenek,Podgrad pri Vremah,https://sl.wikipedia.org/wiki/Grad_%C5%A0varcenek
